OUTDOOR ENCLOSURE DATA LOGGER .BIN to .TXT

BINTXT_XX  F.S.I (C) 03/09/2015

File date and time                      11/04/2018       10:35
______________________________________________________________

Input  File Name                        T2 N29-3.BIN

Output File Name                        T2 N29-3.TXT

Data Start Date (DD/MM/YYYY)            26/03/18       J 085

Data Start Time (Hr:Mi:Ss)              16:28:57

Logger number                           07

Logger status                           See end of file info

Logger mode                             "N" Logging 1/16th sec

Possible number of data records         75969

--------------------------------------------------------------
Ln No  Ch /s Ss Mi Hr Dy Mn Yr Jul ID2.....ID5

      1 1 04 30 30 16 26 03 18  85 19 48 AF EA
      2 1 05 33 30 16 26 03 18  85 19 48 AF EA
      3 1 03 34 30 16 26 03 18  85 19 48 AF EA
      4 1 09 34 30 16 26 03 18  85 19 48 AF EA
      5 1 14 34 30 16 26 03 18  85 19 48 AF EA
      6 1 03 35 30 16 26 03 18  85 19 48 AF EA
      7 1 02 11 33 16 26 03 18  85 19 D2 55 C0
      8 1 07 11 33 16 26 03 18  85 19 D2 55 C0
      9 2 03 14 35 16 26 03 18  85 19 D2 55 C0
     10 2 07 14 35 16 26 03 18  85 19 D2 55 C0
     11 2 12 14 35 16 26 03 18  85 19 D2 55 C0
     12 2 01 15 35 16 26 03 18  85 19 D2 55 C0
     13 2 06 15 35 16 26 03 18  85 19 D2 55 C0
     14 2 11 15 35 16 26 03 18  85 19 D2 55 C0
     15 2 00 16 35 16 26 03 18  85 19 D2 55 C0
     16 2 05 16 35 16 26 03 18  85 19 D2 55 C0
     17 2 10 16 35 16 26 03 18  85 19 D2 55 C0
     18 2 15 16 35 16 26 03 18  85 19 D2 55 C0
     19 2 04 17 35 16 26 03 18  85 19 D2 55 C0
     20 2 09 17 35 16 26 03 18  85 19 D2 55 C0
     21 2 14 17 35 16 26 03 18  85 19 D2 55 C0
     22 2 02 18 35 16 26 03 18  85 19 D2 55 C0
     23 2 08 18 35 16 26 03 18  85 19 D2 55 C0
     24 2 12 18 35 16 26 03 18  85 19 D2 55 C0
     25 2 02 19 35 16 26 03 18  85 19 D2 55 C0
     26 2 06 19 35 16 26 03 18  85 19 D2 55 C0
     27 2 11 19 35 16 26 03 18  85 19 D2 55 C0
     28 2 00 20 35 16 26 03 18  85 19 D2 55 C0
     29 2 14 30 35 16 26 03 18  85 19 48 88 E3
     30 2 03 31 35 16 26 03 18  85 19 48 88 E3
     31 2 08 31 35 16 26 03 18  85 19 48 88 E3
     32 2 12 31 35 16 26 03 18  85 19 48 88 E3
     33 2 01 32 35 16 26 03 18  85 19 48 88 E3
     34 2 06 32 35 16 26 03 18  85 19 48 88 E3
     35 2 10 32 35 16 26 03 18  85 19 48 88 E3
     36 2 15 32 35 16 26 03 18  85 19 48 88 E3
     37 2 04 33 35 16 26 03 18  85 19 48 88 E3
     38 2 09 33 35 16 26 03 18  85 19 48 88 E3
     39 2 02 34 35 16 26 03 18  85 19 48 88 E3
     40 1 05 34 35 16 26 03 18  85 19 D2 55 C0
     41 2 00 35 35 16 26 03 18  85 19 48 88 E3
     42 1 04 35 35 16 26 03 18  85 19 D2 55 C0
     43 2 09 35 35 16 26 03 18  85 19 48 88 E3
     44 2 14 35 35 16 26 03 18  85 19 48 88 E3
     45 1 01 36 35 16 26 03 18  85 19 D2 55 C0
     46 2 03 36 35 16 26 03 18  85 19 48 88 E3
     47 2 07 36 35 16 26 03 18  85 19 48 88 E3
     48 2 12 36 35 16 26 03 18  85 19 48 88 E3
     49 2 01 37 35 16 26 03 18  85 19 48 88 E3
     50 2 06 37 35 16 26 03 18  85 19 48 88 E3
     51 2 11 37 35 16 26 03 18  85 19 48 88 E3
     52 1 04 04 37 16 26 03 18  85 19 D2 55 C0
     53 1 13 04 37 16 26 03 18  85 19 D2 55 C0
     54 2 12 11 37 16 26 03 18  85 19 D2 55 C0
     55 2 01 12 37 16 26 03 18  85 19 D2 55 C0
     56 2 05 12 37 16 26 03 18  85 19 D2 55 C0
     57 2 10 12 37 16 26 03 18  85 19 D2 55 C0
     58 2 15 12 37 16 26 03 18  85 19 D2 55 C0
     59 2 03 13 37 16 26 03 18  85 19 D2 55 C0
     60 2 09 13 37 16 26 03 18  85 19 D2 55 C0
     61 2 13 13 37 16 26 03 18  85 19 D2 55 C0
     62 2 02 14 37 16 26 03 18  85 19 D2 55 C0
     63 2 07 14 37 16 26 03 18  85 19 D2 55 C0
     64 2 12 14 37 16 26 03 18  85 19 D2 55 C0
     65 2 01 15 37 16 26 03 18  85 19 D2 55 C0
     66 2 05 15 37 16 26 03 18  85 19 D2 55 C0
     67 2 10 15 37 16 26 03 18  85 19 D2 55 C0
     68 2 15 15 37 16 26 03 18  85 19 D2 55 C0
     69 2 03 16 37 16 26 03 18  85 19 D2 55 C0
     70 2 08 16 37 16 26 03 18  85 19 D2 55 C0
     71 2 13 16 37 16 26 03 18  85 19 D2 55 C0
